cq,relevance_score,relevance_rationale
What is the agreed compensation (if any) for a specific loan?,4,"The user story, particularly in the 'Example Data' section, explicitly lists 'Compensation' as a key piece of information under 'Loan Agreement' for each example item (e.g., 'Compensation: £5,000 per year' for The Gibson J-160E Guitar). The competency question directly asks for this explicitly mentioned information."
Who is responsible for insurance under a specific loan agreement?,4,"The user story, specifically within the 'Example Data' section, explicitly details the 'Loan Agreement' information for each item. This information includes a field for 'Insurance' which specifies who is responsible (e.g., 'BME to provide insurance...', 'V&A to provide insurance...'). The competency question 'Who is responsible for insurance under a specific loan agreement?' directly asks for this explicitly stated piece of information within the loan agreement details."
Who is responsible for arranging and covering the cost of transport for a specific loan?,4,"The user story explicitly mentions that the system captures 'loan agreements'. The 'Example Data' section provides concrete examples of loan agreements, and each example includes a 'Transport' field detailing who is responsible for arranging and covering the cost of transport (e.g., 'BME to arrange and cover the cost of secure transport', 'Jointly arranged and costs shared between Sonia and the V&A'). The competency question directly asks about this specific piece of information, which is explicitly shown as data to be managed by the system."
Is a specific artifact currently on loan? To whom?,4,"The user story explicitly states that Sonia needs 'an ongoing overview of her loaned items, including the status of loan agreements.' The competency question 'Is a specific artifact currently on loan? To whom?' directly addresses this requirement. The example data provided in the user story for 'Loan Agreement' includes 'Borrower' (answering 'To whom?') and 'Loan Start Date' / 'Loan End Date' (which determine if an artifact is 'currently on loan'). The user story also specifies that the system should 'accommodate this level of detail and provide a clear, organised way to track and communicate this information.' Thus, the ability to answer this CQ is an explicitly expressed requirement of the system."
Which artifacts loaned by Sonia are currently held by the BME?,4,"The user story explicitly states that Sonia wants to loan items to the BME and that the BME system will manage these loans, including capturing loan agreements. Sonia is granted dashboard access to 'maintain an ongoing overview of her loaned items, including the status of loan agreements.' For this overview to be meaningful regarding her loans to the BME (the primary focus of the user story), the system must be able to identify and list which of her artifacts are currently held by the BME. The system explicitly captures 'Loan Agreement' details, including 'Borrower' (e.g., BME) and 'Loan Start Date'/'Loan End Date', which directly enables answering the competency question. Additionally, one of the 'Questions' in the user story asks, 'How will the system track the movement of loaned items between different museums and exhibitions...', which directly implies the system must know the current holder of an item, such as the BME."
"Which loan agreements are set to expire within the next [time period, e.g., 6 months]?",3,"The user story explicitly states that the system captures ""Loan End Date"" as part of ""Loan Agreements"" (evidenced in Example Data) and that users (e.g., Sonia) can ""maintain an ongoing overview of ... the status of loan agreements."" The competency question, ""Which loan agreements are set to expire within the next [time period, e.g., 6 months]?"", asks for information crucial to understanding this ""status."" While the user story does not explicitly state that the system must list loans expiring within a specific user-defined timeframe, this capability is a fundamental and common-sense inference for managing time-bound agreements and understanding their current status. This functionality is inferred from the explicit need to track ""status"" and the availability of ""Loan End Date,"" using domain knowledge about managing agreements. Therefore, the CQ addresses a requirement (providing detailed insight into loan status regarding expiration) that can be inferred from the explicitly stated requirements."
Has an artifact been designated as a 'Full Donation' rather than a loan?,4,"The user story's 'Example Data' section explicitly mentions 'full donation' as a possible value within the 'Loan Agreement' details for multiple artifacts (e.g., for The Gibson J-160E Guitar: 'Compensation: ... or ""full donation""'; for David Bowie's Jumpsuit: 'Loan End Date: ... or ""full donation""'; for Handwritten Lyrics: 'Loan End Date: Full donation'). The competency question directly asks about this specific designation, which the system must be able to capture according to the provided examples."
What are all the artifacts currently under loan agreements with the BME as the borrower?,4,"The user story's primary goal is ""Sonia wants to seamlessly loan valuable and iconic items from her collection to the BME."" The system is designed to facilitate this, with BME staff like Liz using it to add items and their ""loan agreements"" to the knowledge base. The example data for such a loan explicitly lists ""Borrower: British Music Experience (BME)"". Therefore, the competency question, which asks to identify artifacts where BME is the borrower, directly addresses a requirement for information that is explicitly stated to be captured and managed by the system as part of its core function."
How can the system represent the relationship between a donor (Sonia) and the artifacts they have loaned?,4,"The user story explicitly states that Sonia (the donor) loans items from her collection and is granted access to 'maintain an ongoing overview of *her loaned items*.' For the system to fulfill this requirement, it must explicitly represent and manage the relationship between Sonia and the artifacts she has loaned. The collection of 'loan agreements' also inherently requires defining and storing this relationship."
"How can the system represent the status of a loan (e.g., Proposed, Active, Expired, Donated)?a",4,"The user story explicitly states that Sonia should be able to 'maintain an ongoing overview of her loaned items, including the status of loan agreements'. The competency question, 'How can the system represent the status of a loan (e.g., Proposed, Active, Expired, Donated)?', directly addresses this explicit requirement by inquiring about the representation of this loan status. The examples of statuses provided in the CQ are logical derivations from the concept of a loan agreement lifecycle, which includes start dates, end dates, and the possibility of donation, all mentioned or implied in the user story's example data."
"What information about loaned artifacts should be visible to the donor (Sonia) via the dashboard? (e.g., Loan status, Location within museum, Current condition summary?)",4,"The user story explicitly states: 'Sonia is granted (limited) access to the dashboard. This empowers her to maintain an ongoing overview of her loaned items, including the status of loan agreements...'. The competency question, 'What information about loaned artifacts should be visible to the donor (Sonia) via the dashboard?', directly addresses the need to define the specific information content of this explicitly mentioned 'ongoing overview'. Determining what information Sonia sees on the dashboard is a direct requirement for implementing the stated feature."
How does the system distinguish between artifacts owned outright by the museum and those on loan?,4,"The user story explicitly details that the system manages 'loan agreements' (Scenario, Example Data). The 'Example Data' for 'Loan Agreement' explicitly includes 'full donation' as a possible term (e.g., for Handwritten Lyrics: 'Loan End Date: Full donation'). An item that is 'fully donated' becomes 'owned outright by the museum,' while other items remain 'on loan' under their respective agreements. Therefore, to accurately process and represent these explicitly mentioned loan agreement terms and their outcomes, the system must distinguish between these two states. The competency question directly addresses this distinction, which is a necessary capability derived from explicitly stated requirements for handling loan agreements."
"How can Liz retrieve all information (cataloguing, provenance, condition, display, loan) associated with a single artifact added via the loan process?",4,"The user story explicitly states that Liz is responsible for ensuring 'all the details provided by Sonia are accurately captured within the system.' To fulfill this responsibility, Liz must be able to retrieve and view the information that has been entered. Furthermore, the user story explicitly lists the types of information collected: 'cataloguing information, provenance, condition, display requirements, loan agreements, etc.,' which directly correspond to the information types in the competency question (cataloguing, provenance, condition, display, loan). The system is also described as a 'knowledge base' and provides 'overview' (retrieval) access to donors like Sonia, making retrieval a core and explicit function of the system. Therefore, Liz's ability to retrieve this comprehensive information for an artifact is an explicitly expressed requirement."
